video_name,video_url
Lecture 1: Algorithms and Computation,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-006-introduction-to-algorithms-spring-2020/lecture-videos/lecture-1-algorithms-and-computation
Lecture 2: Data Structures and Dynamic Arrays,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-006-introduction-to-algorithms-spring-2020/lecture-videos/lecture-2-data-structures-and-dynamic-arrays
Problem Session 1,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-006-introduction-to-algorithms-spring-2020/lecture-videos/problem-session-1
Lecture 3: Sets and Sorting,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-006-introduction-to-algorithms-spring-2020/lecture-videos/lecture-3-sets-and-sorting
Lecture 4: Hashing,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-006-introduction-to-algorithms-spring-2020/lecture-videos/lecture-4-hashing
Problem Session 2,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-006-introduction-to-algorithms-spring-2020/lecture-videos/problem-session-2
Lecture 5: Linear Sorting,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-006-introduction-to-algorithms-spring-2020/lecture-videos/lecture-5-linear-sorting
Problem Session 3,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-006-introduction-to-algorithms-spring-2020/lecture-videos/problem-session-3
"Lecture 6: Binary Trees, Part 1",https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-006-introduction-to-algorithms-spring-2020/lecture-videos/lecture-6-binary-trees-part-1
"Lecture 7: Binary Trees, Part 2: AVL",https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-006-introduction-to-algorithms-spring-2020/lecture-videos/lecture-7-binary-trees-part-2-avl
Problem Session 4,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-006-introduction-to-algorithms-spring-2020/lecture-videos/problem-session-4
Lecture 8: Binary Heaps,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-006-introduction-to-algorithms-spring-2020/lecture-videos/lecture-8-binary-heaps
Lecture 9: Breadth-First Search,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-006-introduction-to-algorithms-spring-2020/lecture-videos/lecture-9-breadth-first-search
Quiz 1 Review,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-006-introduction-to-algorithms-spring-2020/lecture-videos/quiz-1-review
Lecture 10: Depth-First Search,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-006-introduction-to-algorithms-spring-2020/lecture-videos/lecture-10-depth-first-search
Lecture 11: Weighted Shortest Paths,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-006-introduction-to-algorithms-spring-2020/lecture-videos/lecture-11-weighted-shortest-paths
Problem Session 5,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-006-introduction-to-algorithms-spring-2020/lecture-videos/problem-session-5
Lecture 12: Bellman-Ford,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-006-introduction-to-algorithms-spring-2020/lecture-videos/lecture-12-bellman-ford
Problem Session 6,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-006-introduction-to-algorithms-spring-2020/lecture-videos/problem-session-6
Lecture 13: Dijkstra,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-006-introduction-to-algorithms-spring-2020/lecture-videos/lecture-13-dijkstra
Problem Session 7,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-006-introduction-to-algorithms-spring-2020/lecture-videos/problem-session-7
Lecture 14: APSP and Johnson,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-006-introduction-to-algorithms-spring-2020/lecture-videos/lecture-14-apsp-and-johnson
Quiz 2 Review,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-006-introduction-to-algorithms-spring-2020/lecture-videos/quiz-2-review
"Lecture 15: Dynamic Programming, Part 1: SRTBOT, Fib, DAGs, Bowling",https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-006-introduction-to-algorithms-spring-2020/lecture-videos/lecture-15-dynamic-programming-part-1-srtbot-fib-dags-bowling
"Lecture 16: Dynamic Programming, Part 2: LCS, LIS, Coins",https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-006-introduction-to-algorithms-spring-2020/lecture-videos/lecture-16-dynamic-programming-part-2-lcs-lis-coins
Problem Session 8,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-006-introduction-to-algorithms-spring-2020/lecture-videos/problem-session-8
"Lecture 17: Dynamic Programming, Part 3: APSP, Parens, Piano",https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-006-introduction-to-algorithms-spring-2020/lecture-videos/lecture-17-dynamic-programming-part-3-apsp-parens-piano
"Lecture 18: Dynamic Programming, Part 4: Rods, Subset Sum, Pseudopolynomial",https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-006-introduction-to-algorithms-spring-2020/lecture-videos/lecture-18-dynamic-programming-part-4-rods-subset-sum-pseudopolynomial
